gene,protein_classes,primary_class
EPHA7,catalytic_receptor;kinase,kinase
TEK,catalytic_receptor;kinase,kinase
CDK4,kinase,kinase
COQ8B,kinase,kinase
DCLK3,kinase,kinase
TRIB1,kinase,kinase
SLC12A7,kinase;transporter,kinase
IGF1R,catalytic_receptor;kinase,kinase
LRRK2,kinase,kinase
PIM2,kinase,kinase
STK33,kinase,kinase
PAK2,kinase,kinase
NIM1K,kinase,kinase
RIOK2,kinase,kinase
PRKDC,kinase,kinase
BRSK1,kinase,kinase
TSSK2,kinase,kinase
ULK1,kinase,kinase
SGK2,kinase,kinase
LATS2,kinase,kinase
SBK3,kinase,kinase
ULK4,kinase,kinase
CDK16,kinase,kinase
ROCK2,kinase,kinase
CHUK,kinase,kinase
GRK4,kinase,kinase
SIK1,kinase,kinase
STK38,kinase,kinase
TLK1,kinase,kinase
TAOK2,kinase,kinase
CDKL4,kinase,kinase
CLK1,kinase,kinase
GAK,kinase,kinase
BUB1,kinase,kinase
HCK,kinase,kinase
MET,catalytic_receptor;kinase,kinase
WEE2,kinase,kinase
AKT3,kinase,kinase
EPHA1,catalytic_receptor;kinase,kinase
ERBB4,catalytic_receptor;kinase,kinase
ULK2,kinase,kinase
TEX14,kinase,kinase
SMG1,kinase,kinase
CDK14,kinase,kinase
TRIB2,kinase,kinase
GRK5,kinase,kinase
INSRR,catalytic_receptor;kinase,kinase
PEAK1,kinase,kinase
TYK2,kinase,kinase
SLK,kinase,kinase
DAPK3,kinase,kinase
GUCY2C,catalytic_receptor;kinase,kinase
CHEK1,kinase,kinase
PLK2,kinase,kinase
NEK10,kinase,kinase
CDK3,kinase,kinase
IKBKE,kinase,kinase
NEK2,kinase,kinase
CLK4,kinase,kinase
NTRK3,catalytic_receptor;kinase,kinase
ALPK3,kinase,kinase
CDK17,kinase,kinase
TAOK3,kinase,kinase
PLK4,kinase,kinase
SRMS,kinase,kinase
WNK3,kinase,kinase
BTK,kinase,kinase
IRAK3,kinase,kinase
PLK3,kinase,kinase
IRAK1,kinase,kinase
EPHB6,catalytic_receptor;kinase,kinase
BMX,kinase,kinase
ILK,kinase,kinase
ERN1,kinase,kinase
NLK,kinase,kinase
NEK9,kinase,kinase
TRIO,kinase,kinase
COQ8A,kinase,kinase
MUSK,catalytic_receptor;kinase,kinase
ZAP70,kinase,kinase
MERTK,catalytic_receptor;kinase,kinase
DDR1,catalytic_receptor;kinase,kinase
BUB1B,kinase,kinase
LATS1,kinase,kinase
EGFR,catalytic_receptor;kinase,kinase
INSR,catalytic_receptor;kinase,kinase
IRAK4,kinase,kinase
TNIK,kinase,kinase
TSSK3,kinase,kinase
MAST2,kinase,kinase
LIMK2,kinase,kinase
