gene,chembl_dir,n_mechanisms,ambiguous,our_signed,our_call,correct
ABAT,antagonize,1,False,-0.48731497,antagonize,1
ADH5,antagonize,2,False,-0.48954985,antagonize,1
AKR1B1,antagonize,2,False,0.5328932,agonize,0
ATP1B3,antagonize,1,False,0.9733266,agonize,0
BRD4,antagonize,1,False,0.4240583,agonize,0
CCR2,antagonize,1,False,-0.4450885,antagonize,1
CD2,antagonize,1,False,-1.1457816,antagonize,1
CD3D,antagonize,1,False,-1.0524408,antagonize,1
CD3E,antagonize,2,False,-1.191318,antagonize,1
CD3G,antagonize,1,False,-1.6951259,antagonize,1
CDK2,antagonize,1,False,-0.75742555,antagonize,1
CDK4,antagonize,3,False,-0.5813891,antagonize,1
CPT2,antagonize,1,False,-0.37668344,antagonize,1
CRBN,antagonize,1,False,0.3773373,agonize,0
CTSC,antagonize,1,False,-0.49045157,antagonize,1
EML4,antagonize,1,False,-0.68240994,antagonize,1
F5,antagonize,1,False,-0.43088984,antagonize,1
HDAC5,antagonize,2,False,-0.47949648,antagonize,1
HDAC9,antagonize,2,False,-0.39356324,antagonize,1
HSD11B1,antagonize,1,False,-0.52684504,antagonize,1
HSPA8,antagonize,1,False,0.5765989,agonize,0
IFNG,antagonize,1,False,-0.6009156,antagonize,1
IL10RB,agonize,2,False,-0.6579717,antagonize,0
IL15RA,agonize,1,False,-0.46260762,antagonize,0
IL1R1,antagonize,1,False,-0.34299803,antagonize,1
IL2RA,antagonize,3,True,-0.93097264,antagonize,1
IL4R,antagonize,1,False,1.4309325,agonize,0
IL6R,antagonize,4,False,-0.622319,antagonize,1
IMPDH2,antagonize,2,False,0.86801463,agonize,0
INPP5D,agonize,1,False,1.0074807,agonize,1
ITGAL,antagonize,3,False,0.7263284,agonize,0
ITK,antagonize,2,False,-0.9571917,antagonize,1
JAK2,antagonize,4,False,-0.41682377,antagonize,1
KCNC4,antagonize,2,False,-0.49750605,antagonize,1
KRAS,antagonize,1,False,-0.33526888,antagonize,1
LAG3,antagonize,2,False,0.501726,agonize,0
MAP3K9,antagonize,1,False,-0.37711987,antagonize,1
MAPK11,antagonize,2,False,-0.42663428,antagonize,1
MDM2,antagonize,1,False,-0.4247338,antagonize,1
MEN1,antagonize,1,False,-0.7403769,antagonize,1
NDUFA12,antagonize,1,False,-0.4911028,antagonize,1
NDUFA3,antagonize,1,False,-0.577352,antagonize,1
NDUFA5,antagonize,1,False,-0.46995404,antagonize,1
NDUFB1,antagonize,1,False,-0.7280233,antagonize,1
NDUFB3,antagonize,1,False,0.6390036,agonize,0
NDUFB9,antagonize,1,False,0.63474745,agonize,0
NDUFC2,antagonize,1,False,-0.47290602,antagonize,1
NDUFS2,antagonize,1,False,-0.7468278,antagonize,1
NDUFS8,antagonize,1,False,-0.669224,antagonize,1
NFKB1,antagonize,1,False,-0.53310174,antagonize,1
P4HTM,antagonize,1,False,-0.5732761,antagonize,1
PARP2,antagonize,4,False,0.4775145,agonize,0
PDE6B,antagonize,1,False,-0.42260504,antagonize,1
PDE6D,antagonize,1,False,-0.5202678,antagonize,1
PDE6G,antagonize,1,False,-0.43145835,antagonize,1
PDE7B,antagonize,2,False,-0.56095326,antagonize,1
PIK3R2,antagonize,1,False,-0.41841483,antagonize,1
PPAT,antagonize,1,False,-0.6563135,antagonize,1
PPP3CA,antagonize,1,False,-0.49651647,antagonize,1
PRKCQ,antagonize,1,False,-0.54573977,antagonize,1
PSMB9,antagonize,3,False,1.3160408,agonize,0
PTGIR,agonize,2,False,-0.5175838,antagonize,0
RELA,antagonize,1,False,-0.62072873,antagonize,1
ROCK2,antagonize,3,False,-0.48541424,antagonize,1
SLAMF7,antagonize,1,False,0.8674105,agonize,0
SOAT1,antagonize,1,False,-0.50140387,antagonize,1
SRC,antagonize,3,False,0.44621935,agonize,0
SRD5A1,antagonize,1,False,0.7624991,agonize,0
TRAF3IP2,antagonize,1,False,-0.46502718,antagonize,1
TUBA1C,antagonize,2,False,-0.507373,antagonize,1
TUBB2A,antagonize,2,False,0.52026546,agonize,0
TXK,antagonize,1,False,-0.4432305,antagonize,1
VAMP2,antagonize,1,False,-0.44265786,antagonize,1
VEGFB,antagonize,1,False,-0.48026922,antagonize,1
VKORC1,antagonize,2,False,-0.6655533,antagonize,1
YES1,antagonize,1,False,-0.6528246,antagonize,1
