target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,protein_classes,tractability_tier,suggested_modality,is_druggable,sm_clinical,sm_ligand,sm_pocket,sm_druggable_family,ab_clinical,ab_surface,n_drugs,drug_stages
AASDHPPT,ENSG00000149313,brake_agonize,Rest,3.7388234,0.0,none,,,unknown,undetermined,False,,,,,,,,
ABAT,ENSG00000183044,driver_antagonize,Stim48hr,3.3064237,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
ABCC1,ENSG00000103222,brake_agonize,Rest,3.2314122,0.0,none,transporter,transporter,class_tractable_sm,small molecule,True,,,,,,,,
ABCC4,ENSG00000125257,driver_antagonize,Stim48hr,5.489015,0.0,none,transporter,transporter,class_tractable_sm,small molecule,True,,,,,,,,
ABCD2,ENSG00000173208,brake_agonize,Rest,6.5407047,0.0,none,transporter,transporter,class_tractable_sm,small molecule,True,,,,,,,,
ABHD14A,ENSG00000248487,brake_agonize,Stim8hr,3.4053085,0.0,none,,,unknown,undetermined,False,,,,,,,,
ABHD14B,ENSG00000114779,brake_agonize,Rest,3.3366547,0.0,none,,,unknown,undetermined,False,,,,,,,,
ABI1,ENSG00000136754,driver_antagonize,Rest,3.5690067,0.0,none,,,unknown,undetermined,False,,,,,,,,
ABI2,ENSG00000138443,driver_antagonize,Rest,3.074086,0.0,none,,,unknown,undetermined,False,,,,,,,,
ABL2,ENSG00000143322,driver_antagonize,Stim48hr,2.8970263,0.1954376435163154,weak,kinase,kinase,class_tractable_sm,small molecule,True,,,,,,,,
ABRAXAS2,ENSG00000165660,driver_antagonize,Stim48hr,4.0703425,0.0,none,,,unknown,undetermined,False,,,,,,,,
ABTB3,ENSG00000151136,driver_antagonize,Rest,4.459844,0.0,none,,,unknown,undetermined,False,,,,,,,,
ACAD11,ENSG00000240303,brake_agonize,Stim8hr,6.974614,0.0,none,,,sm_tractable,small molecule,True,False,True,True,False,False,False,0.0,
ACAD8,ENSG00000151498,brake_agonize,Rest,3.5760403,0.0,none,,,unknown,undetermined,False,,,,,,,,
ACADS,ENSG00000122971,driver_antagonize,Stim8hr,2.8406641,0.0,none,,,unknown,undetermined,False,,,,,,,,
ACAP1,ENSG00000072818,brake_agonize,Stim8hr,4.267295,0.5157501981490205,strong,,,ab_tractable,antibody/biologic (surface),True,False,False,False,False,False,True,0.0,
ACAP2,ENSG00000114331,driver_antagonize,Stim8hr,3.1577268,0.0,none,,,unknown,undetermined,False,,,,,,,,
ACAP3,ENSG00000131584,brake_agonize,Rest,4.632612,0.0,none,,,unknown,undetermined,False,,,,,,,,
ACER3,ENSG00000078124,driver_antagonize,Stim8hr,4.9761925,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
ACSL4,ENSG00000068366,driver_antagonize,Stim8hr,3.1522725,0.0,none,,,unknown,undetermined,False,,,,,,,,
ACSS2,ENSG00000131069,driver_antagonize,Stim8hr,2.8915694,0.0,none,,,unknown,undetermined,False,,,,,,,,
ACTG1,ENSG00000184009,driver_antagonize,Stim48hr,3.8030694,0.0,none,,,unknown,undetermined,False,,,,,,,,
ACVR1C,ENSG00000123612,brake_agonize,Rest,4.144419,0.0,none,catalytic_receptor,catalytic_receptor,class_tractable_sm,antibody/biologic (surface),True,,,,,,,,
ADA2,ENSG00000093072,driver_antagonize,Stim8hr,2.78685,0.7789113344398895,strong,,,unknown,undetermined,False,,,,,,,,
