perturbation,program_score,emp_z,emp_p,emp_fdr,direction,perturbed_gene
Pmp22 KO mouse GSE1947 sample 969,-0.014862491844475946,-0.10522602195443184,0.9161964628085061,0.9998960276301339,driver_antagonize,PMP22
HIPK2 KD human GSE43881 sample 2873,-0.014862491844475946,-0.055860476486087114,0.9554529568355692,0.9998960276301339,driver_antagonize,HIPK2
Kdm6a KD mouse GSE45034 sample 1302,-0.07320940313564445,-0.5456661269680653,0.5852954600509972,0.9998960276301339,driver_antagonize,KDM6A
SMC3 KD human GSE38252 sample 2222,0.05728365839670666,0.440969393684056,0.659235154609282,0.9998960276301339,brake_agonize,SMC3
Nr3c1 KO mouse GSE23724 sample 3014,-0.0887117623880675,-0.5025497760536294,0.6152808478816723,0.9998960276301339,driver_antagonize,NR3C1
Mef2d KD mouse GSE47150 sample 366,0.10557670071086084,0.9029772739766665,0.3665379565147183,0.9998960276301339,brake_agonize,MEF2D
RFWD2 KD human GSE27914 sample 1243,0.23105512135027145,1.4914298170518678,0.13584868464028066,0.9675077052429745,brake_agonize,RFWD2
Kcnip3 KO mouse GSE16874 sample 1031,0.021966408504257826,0.20875033121279082,0.8346431469603893,0.9998960276301339,brake_agonize,KCNIP3
Runx1 KO mouse GSE2592 sample 277,-0.014862491844475946,-0.17423992298443772,0.8616769113793723,0.9998960276301339,driver_antagonize,RUNX1
Sirt3 KO mouse GSE30552 sample 443,0.12454829990482805,0.8746160366431197,0.3817828590996095,0.9998960276301339,brake_agonize,SIRT3
L1cam KO mouse GSE13984 sample 1017,-0.014862491844475946,-0.11027951075211805,0.9121877061937812,0.9998960276301339,driver_antagonize,L1CAM
Parp2 KO mouse GSE54864 sample 1474,-0.20419682984621348,-0.8947225627972807,0.37093541432494626,0.9998960276301339,driver_antagonize,PARP2
Ovol1 KO mouse GSE55072 sample 2617,-0.014862491844475946,-0.1408835408895215,0.8879619449195129,0.9998960276301339,driver_antagonize,OVOL1
RARA KD human GSE26298 sample 69,0.05728365839670666,0.39081329316269614,0.6959352483655167,0.9998960276301339,brake_agonize,RARA
Tcf12 KO mouse GSE27402 sample 2168,0.09558170093011788,0.6650766600644602,0.5060014621335849,0.9998960276301339,brake_agonize,TCF12
Gnb5 KO mouse GSE29081 sample 2490,0.11615693449593065,0.7740400545187872,0.43890710496113594,0.9998960276301339,brake_agonize,GNB5
MYB KD human GSE49286 sample 1835,-0.014862491844475946,-0.13035030358687322,0.8962892830234128,0.9998960276301339,driver_antagonize,MYB
Npc1 KO mouse GSE39621 sample 2464,-0.014862491844475946,-0.013646406700972539,0.9891120807166408,0.9998960276301339,driver_antagonize,NPC1
Nfkbiz KO mouse GSE43075 sample 2529,-0.5299537790071388,-3.5816258082589574,0.0003414626353900492,0.012782960196653122,driver_antagonize,NFKBIZ
LAMC2 KD human GSE50767 sample 2210,-0.4324103803479705,-3.2889746172125873,0.0010055309147358777,0.02996071705131391,driver_antagonize,LAMC2
CTNNB1 KD human GSE18560 sample 3119,-0.014862491844475946,-0.11695687018044645,0.9068942314523086,0.9998960276301339,driver_antagonize,CTNNB1
Vhl KO mouse GSE11484 sample 2527,-0.014862491844475946,0.12507673535592428,0.9004628011395931,0.9998960276301339,driver_antagonize,VHL
VAMP7 KD human GSE56102 sample 2991,-0.014862491844475946,-0.18003787171736557,0.8571228366167729,0.9998960276301339,driver_antagonize,VAMP7
Ctla4 KO mouse GSE37563 sample 2400,0.4762561279454861,3.293183040233312,0.000990599621153593,0.02996071705131391,brake_agonize,CTLA4
Il10 KO mouse GSE2172 sample 1106,-0.014862491844475946,-0.20566835413256274,0.8370499798100142,0.9998960276301339,driver_antagonize,IL10
MIR221 KD human GSE19777 sample 482,-0.19600549548737367,-1.5071624387328866,0.13176902547111163,0.9675077052429745,driver_antagonize,MIR221
EWSR1 KD human GSE27524 sample 496,-0.007330009047026661,-0.36356477710488394,0.7161830330896324,0.9998960276301339,driver_antagonize,EWSR1
Tfap2c KO mouse GSE45941 sample 1488,-0.014862491844475946,-0.12688446708871154,0.8990318407349365,0.9998960276301339,driver_antagonize,TFAP2C
Ghr KO mouse GSE988 sample 1001,-0.014862491844475946,-0.6218275377157287,0.5340552767948611,0.9998960276301339,driver_antagonize,GHR
Crem KO mouse GSE29592 sample 2558,-0.0860184928169474,-0.6646220289914769,0.5062922757529037,0.9998960276301339,driver_antagonize,CREM
