target_gene,ensembl_id,peak_condition,direction,abs_emp_z,peak_signed_score,genetics_autoimmune,autoimmune_ot_score,ot_autoimmune_disease,ot_top_disease,ot_top_score,lof_bin,lof_constrained,mis_z,genetics_tier
AASDHPPT,ENSG00000149313,Rest,brake_agonize,3.7388234,0.64366406,0.0,0.0,,,,,False,,none
ABAT,ENSG00000183044,Stim48hr,driver_antagonize,3.3064237,-0.48731497,0.0,0.0,,,,,False,,none
ABCC1,ENSG00000103222,Rest,brake_agonize,3.2314122,0.6207878,0.0,0.0,,,,,False,,none
ABCC4,ENSG00000125257,Stim48hr,driver_antagonize,5.489015,-0.8468881,0.0,0.0,,,,,False,,none
ABCD2,ENSG00000173208,Rest,brake_agonize,6.5407047,0.81487423,0.0,0.0,,,,,False,,none
ABHD14A,ENSG00000248487,Stim8hr,brake_agonize,3.4053085,0.51216847,0.0,0.0,,,,,False,,none
ABHD14B,ENSG00000114779,Rest,brake_agonize,3.3366547,0.43774247,0.0,0.0,,,,,False,,none
ABI1,ENSG00000136754,Rest,driver_antagonize,3.5690067,-0.55979174,0.0,0.0,,,,,False,,none
ABI2,ENSG00000138443,Rest,driver_antagonize,3.074086,-0.49303207,0.0,0.0,,,,,False,,none
ABL2,ENSG00000143322,Stim48hr,driver_antagonize,2.8970263,-0.43057927,0.1954376435163154,0.1954376435163154,,,,,False,,weak
ABRAXAS2,ENSG00000165660,Stim48hr,driver_antagonize,4.0703425,-0.5539669,0.0,0.0,,,,,False,,none
ABTB3,ENSG00000151136,Rest,driver_antagonize,4.459844,-0.68882495,0.0,0.0,,,,,False,,none
ACAD11,ENSG00000240303,Stim8hr,brake_agonize,6.974614,1.314516,0.0,0.0,,neurodegenerative disease,0.539,5.0,False,0.7762399911880493,none
ACAD8,ENSG00000151498,Rest,brake_agonize,3.5760403,0.46918574,0.0,0.0,,,,,False,,none
ACADS,ENSG00000122971,Stim8hr,driver_antagonize,2.8406641,-0.48273778,0.0,0.0,,,,,False,,none
ACAP1,ENSG00000072818,Stim8hr,brake_agonize,4.267295,0.6746784,0.5157501981490205,0.5157501981490205,type 1 diabetes mellitus,hypothyroidism,0.451,1.0,True,2.9491000175476074,strong
ACAP2,ENSG00000114331,Stim8hr,driver_antagonize,3.1577268,-0.479665,0.0,0.0,,,,,False,,none
ACAP3,ENSG00000131584,Rest,brake_agonize,4.632612,0.62800246,0.0,0.0,,,,,False,,none
ACER3,ENSG00000078124,Stim8hr,driver_antagonize,4.9761925,-0.6708639,0.0,0.0,,,,,False,,none
ACSL4,ENSG00000068366,Stim8hr,driver_antagonize,3.1522725,-0.4995171,0.0,0.0,,,,,False,,none
ACSS2,ENSG00000131069,Stim8hr,driver_antagonize,2.8915694,-0.3462657,0.0,0.0,,,,,False,,none
ACTG1,ENSG00000184009,Stim48hr,driver_antagonize,3.8030694,-0.50343883,0.0,0.0,,,,,False,,none
ACVR1C,ENSG00000123612,Rest,brake_agonize,4.144419,0.56752354,0.0,0.0,,,,,False,,none
ADA2,ENSG00000093072,Stim8hr,driver_antagonize,2.78685,-0.3952779,0.7789113344398895,0.7789113344398895,,,,,False,,strong
ADAM17,ENSG00000151694,Rest,driver_antagonize,3.544788,-0.50324315,0.8453189568483129,0.8453189568483129,neonatal inflammatory skin and bowel disease,neonatal inflammatory skin and bowel disease,0.765,1.0,True,2.575900077819824,strong
ADAM19,ENSG00000135074,Stim48hr,brake_agonize,5.641377,1.1934618,0.5360646323560373,0.5360646323560373,asthma,coronary artery disorder,0.423,3.0,False,1.5181000232696533,strong
ADAM22,ENSG00000008277,Stim48hr,driver_antagonize,3.2312434,-0.49287176,0.0,0.0,,,,,False,,none
ADAM8,ENSG00000151651,Stim8hr,driver_antagonize,2.9605687,-0.48061767,0.0,0.0,,,,,False,,none
ADAMTS10,ENSG00000142303,Rest,brake_agonize,3.1888416,0.4171987,0.0,0.0,,,,,False,,none
ADAT1,ENSG00000065457,Stim8hr,driver_antagonize,3.421679,-0.56538284,0.0,0.0,,,,,False,,none
ADD1,ENSG00000087274,Stim48hr,brake_agonize,3.0512044,0.42808005,0.0,0.0,,,,,False,,none
ADGRG5,ENSG00000159618,Stim48hr,driver_antagonize,5.418591,-0.8456829,0.164,0.1168274536271532,Hashimoto thyroiditis,hypothyroidism,0.371,4.0,False,0.6475600004196167,weak
ADH5,ENSG00000197894,Stim8hr,driver_antagonize,3.820341,-0.48954985,0.0,0.0,,,,,False,,none
ADHFE1,ENSG00000147576,Stim48hr,driver_antagonize,3.4570017,-0.58836037,0.0,0.0,,,,,False,,none
ADI1,ENSG00000182551,Stim8hr,driver_antagonize,2.9489245,-0.44495583,0.0,0.0,,,,,False,,none
ADIPOR2,ENSG00000006831,Stim8hr,brake_agonize,4.093002,0.5143702,0.0,0.0,,,,,False,,none
ADPRS,ENSG00000116863,Stim8hr,driver_antagonize,2.7873223,-0.41492283,0.0,0.0,,,,,False,,none
AEN,ENSG00000181026,Stim48hr,driver_antagonize,2.907893,-0.45187458,0.4930548782414778,0.4930548782414778,,,,,False,,moderate
AFAP1L2,ENSG00000169129,Stim48hr,driver_antagonize,4.0447097,-0.690063,0.0,0.0,,,,,False,,none
AFDN,ENSG00000130396,Stim8hr,driver_antagonize,3.0833874,-0.38693783,0.0,0.0,,,,,False,,none
AFF4,ENSG00000072364,Rest,driver_antagonize,4.3606415,-0.6701897,0.0,0.0,,,,,False,,none
AFTPH,ENSG00000119844,Stim8hr,brake_agonize,3.9253018,0.6441516,0.0,0.0,,,,,False,,none
AGFG2,ENSG00000106351,Stim8hr,brake_agonize,3.0053008,0.3610221,0.0,0.0,,,,,False,,none
AGMAT,ENSG00000116771,Stim48hr,driver_antagonize,3.12821,-0.51748013,0.0,0.0,,,,,False,,none
