gene,weight,z_rest,consistent,z_stim
IFNG,1,6.20856789741585,True,0.009867290215666754
TBX21,1,0.6860809130204729,True,-0.9864426208322046
STAT1,1,2.4780386778361523,True,2.0453756376740033
STAT4,1,-1.9296245269825303,False,1.3425724332596356
CXCR3,1,-1.4054922456822856,False,-1.1395287229075244
IL12RB2,1,2.96746334623213,True,1.148922077383548
IL18R1,1,1.2318909444840176,True,1.415684570046964
IL18RAP,1,0.7348723928579209,True,-1.011241779883905
IL17A,1,0.1946597916959258,True,-2.8777205131060963
IL17F,1,4.668350956909824,True,-0.7883016475287313
RORC,1,-3.323041865925995,False,-2.3945150483515847
RORA,1,-1.0022037489236513,False,-0.7399419807130672
IL23R,1,1.3795799834044518,True,0.6612073197937445
CCR6,1,-2.222597890385567,False,-0.5172926863027838
IL21,1,6.247855305682529,True,3.6147417776807256
IL22,1,11.077065497436841,True,3.9229707450275675
CSF2,1,6.11243918787273,True,5.875850959767795
BATF,1,3.432940277798546,True,0.4797321826040059
IRF4,1,3.0993576805841574,True,0.8755089982809181
AHR,1,0.37552727484806,True,0.776236719950404
TNF,1,0.015093121069844421,True,-0.08472881910287028
LTA,1,3.1574256541960355,True,1.5665470369812884
IL2,1,3.967878324723828,True,10.450898779894498
IL2RA,1,2.7392490535841865,True,-1.2795061395217588
CCL3,1,0.9391743906457795,True,-3.3237402071432505
CCL4,1,0.7300513757586657,True,-6.611229866208656
CCL5,1,-2.8520781800606665,False,-0.6129908634937077
CXCL8,1,0.05232667039492486,True,-7.092396750166208
GZMB,1,2.6865027474202012,True,-0.22333520771387033
PRF1,1,-4.651444579669847,False,-2.76750121360945
FASLG,1,-2.9442793850697133,False,-7.346303480671676
TNFRSF9,1,2.832479315571424,True,3.576028900895412
ICOS,1,1.422567515752712,True,-4.554307338105877
NFKB1,1,0.6561660701145746,True,0.5825889290952255
NFKB2,1,2.9918128420975028,True,2.657119002184819
REL,1,0.3708564574382218,True,1.502586118356371
RELB,1,2.0765434351424217,True,-0.7300502332277318
STAT3,1,2.089270401368311,True,2.3705596567406726
IL10,-1,-1.6094010528440583,True,-14.074908564535418
FOXP3,-1,-2.4295420160763554,True,-3.622630271799867
IKZF2,-1,0.708266559662645,False,-2.121151107300045
CTLA4,-1,-0.33427111895025713,True,-9.42196162608409
TIGIT,-1,1.0352258444862967,False,0.9527625507523872
IL2RB,-1,1.6883557360002817,False,-1.2568251135197033
TGFB1,-1,-1.2189123757104925,True,-1.3034183458903277
TNFRSF18,-1,2.325019615402867,False,0.6094781978096135
LRRC32,-1,-0.7788360148088703,True,-2.739434168635366
IL10RA,-1,-1.5454393342262274,True,3.36362619427836
ENTPD1,-1,-0.3661039702503491,True,0.4981054979133448
LAG3,-1,-1.2970691384565303,True,-4.705732856722957
