sym,context,emp_z,rev_clean,emp_fdr,n_de_genes,genetics_tier,primary_class,druggable,therapeutic_dir,ms_nomination
IL2RB,Stim8hr,2.5691208839416504,0.5398703,0.9003943908851941,228,GWAS/OT,catalytic_receptor,True,True,True
TYK2,Stim8hr,2.426754951477051,0.36866584,0.9587532865907089,29,GWAS/OT,kinase,True,True,True
TBX21,Stim8hr,2.4059386253356934,0.49302107,0.9504163014899228,308,GWAS/OT,transcription_factor,False,True,True
IL2RA,Rest,2.3028783798217773,0.32774016,0.9621351609383484,10,genetic_only,catalytic_receptor,True,True,True
IL7R,Stim8hr,2.0120410919189453,0.37993395,0.9795957493426791,812,genetic_only,catalytic_receptor,True,True,True
STAT1,Stim8hr,1.9287880659103394,0.28403,0.9848063650306731,46,GWAS/OT,transcription_factor,False,True,True
TNFRSF1A,Rest,1.7223749160766602,0.2435856,0.9901974364657201,47,high_confidence,catalytic_receptor,True,True,True
TAGAP,Stim8hr,1.6730906963348389,0.27210334,0.9904338299737084,4,GWAS/OT,unmapped,False,True,True
SH2B3,Rest,1.1900097131729126,0.20731893,0.996618085106383,1,high_confidence,unmapped,False,True,True
BACH2,Stim8hr,0.5215775966644287,0.080178574,0.9990370381281347,15,high_confidence,transcription_factor,False,True,True
AHI1,Rest,-0.1662781536579132,0.057232514,0.9994222024930383,1,high_confidence,unmapped,False,True,True
RGS1,Rest,1.4953383207321167,0.23861131,0.9942063329696311,2,GWAS/OT,unmapped,False,True,False
BATF,Stim8hr,1.1612379550933838,0.1356703,0.9967052336913153,660,GWAS/OT,transcription_factor,False,True,False
TNFSF14,Stim8hr,1.0716694593429565,0.18799108,0.9972722683854934,4,genetic_only,cytokine,False,True,False
IL12RB1,Stim8hr,1.0475401878356934,0.13425063,0.9975960580830211,16,GWAS/OT,catalytic_receptor,True,True,False
STAT4,Stim8hr,0.975482165813446,0.1946308,0.9978597630944096,1,GWAS/OT,transcription_factor,False,True,False
CXCR3,Stim8hr,0.6178203821182251,0.1383798,0.9987708150744962,2,GWAS/OT,GPCR,True,True,False
CD58,Stim48hr,0.09061291813850403,0.049520515,0.9993365647571464,1,genetic_only,unmapped,False,True,False
CD48,Rest,-0.07748819142580032,-0.004902303,0.999403623490804,6,GWAS/OT,unmapped,False,False,False
TRAF3,Stim48hr,-0.20966340601444244,-0.1735218,0.9994721700335211,607,high_confidence,unmapped,False,False,False
IRF8,Stim8hr,-0.3286837339401245,-0.29208285,0.9995621716287214,88,GWAS/OT,transcription_factor,False,False,False
