target_gene,rank,integrated_score,causal_component,rwr,intdeg,gold
IL4R,1,0.8689922711127874,0.9942797711908476,0.007240052466937693,26,1
IL2RA,2,0.8438871935947402,0.9765990639625584,0.016937760537183925,36,1
STAT3,3,0.8317353094123766,0.7727509100364015,0.012851960241589709,31,1
CREBBP,4,0.8202500260010401,0.9136765470618824,0.002552003385045614,34,1
IL10RB,5,0.8175148052515867,0.8387935517420697,0.005148227046367435,19,1
IRF8,6,0.7949033023689043,0.9812792511700468,0.0033120453545675867,16,0
IL6R,7,0.7899033913581395,0.8148725949037962,0.006907086850274733,24,1
PRKCQ,8,0.7895907436297452,0.7311492459698388,0.00124408492329809,8,1
STAT4,9,0.7893078523140926,0.9303172126885076,0.010221647434515,14,0
CD2,10,0.7770805295103649,0.983879355174207,0.004228834598426601,17,1
STAT6,11,0.7733823032649367,0.921996879875195,0.00454744215335574,16,0
ADAM17,12,0.7673876787341611,0.5876235049401977,0.0005560530253212966,4,1
PTPN2,13,0.7653211046458912,0.9537181487259492,0.002789848256018188,13,0
INPP5D,14,0.7652223088923558,0.9344773790951638,0.001684751464982694,9,1
STAT5B,15,0.7647385855434219,0.8959958398335933,0.004530433815664205,16,0
PSMB9,16,0.7621623504940197,0.9963598543941756,0.0024343917631780335,14,1
ITGAL,17,0.7604020235035418,0.9084763390535622,0.003682633337257472,16,1
PPP5C,18,0.7575012257383058,0.6791471658866355,0.00014207383699923215,6,1
SIK2,19,0.7556762351443582,0.9183567342693708,1.2025143492615443e-05,1,0
TBX21,20,0.7523130609745369,0.998439937597504,0.012049361492188493,8,0
SRP54,21,0.7465024440977639,0.8855954238169527,6.854735925801108e-05,4,0
NF1,22,0.7430837753510141,0.8658346333853354,0.00046969010707102987,14,0
STAT1,23,0.7410247529901196,0.8200728029121165,0.012130481970004943,25,0
SLAMF7,24,0.7361774310972439,0.9287571502860116,0.000892351456200975,2,1
GLS,25,0.7339540614069645,0.796671866874675,0.0,0,1
SUOX,26,0.7225741304591098,0.8205928237129485,3.866582433839165e-05,2,0
IL21R,27,0.7223499294195161,0.8101924076963078,0.007370308744649331,26,0
HRAS,28,0.7203690587623506,0.7249089963598544,0.0011786277269543437,14,1
SPPL3,29,0.719479380445776,0.8928757150286012,5.221306600895361e-07,1,0
CTH,30,0.7189686543960716,0.9947997919916796,0.00015992678681180396,3,0
CTSH,31,0.7174204022232209,0.8179927197087884,2.8152165515148093e-05,1,0
YES1,32,0.7141039521580863,0.8788351534061363,0.00010601579470317673,1,1
GATA3,33,0.713988039521581,0.7087883515340614,0.007403106627970291,32,0
STING1,34,0.7139377416235799,0.7722308892355694,0.0004534924672473821,2,1
NPEPPS,35,0.7076105718223246,0.7394695787831513,0.0010434790133564394,1,1
TDRKH,36,0.7024356050089537,0.9635985439417576,0.0,0,0
SP110,37,0.6998632865314613,0.8887155486219449,0.0005426580484210159,4,0
CDK2,38,0.6982639105564222,0.8169526781071242,0.00063430471483285,22,1
BATF,39,0.6970436217925258,0.8996359854394176,0.007871812057900426,7,0
ATP2A2,40,0.6953395406534236,0.4539781591263651,9.365887110328692e-05,5,1
CEPT1,41,0.6911346065866283,0.8346333853354134,0.0,0,0
MFSD6,42,0.6892808734135949,0.84399375975039,1.3487532849337546e-05,3,0
SETBP1,43,0.6874807274205698,0.7732709308372335,0.00023613438848619573,4,0
IRF3,44,0.687078997796709,0.8231929277171087,0.0022277228404093143,16,0
NEK6,45,0.6869595686887875,0.8008320332813312,1.9604336659200125e-05,3,0
SLC15A4,46,0.6867114484769181,0.733749349973999,3.62367666096877e-05,3,0
NAB1,47,0.6829709327445709,0.7217888715548622,2.788848669914243e-06,1,0
FBXO38,48,0.681720614079127,0.7758710348413936,0.0,0,0
PLA2G4A,49,0.6807143307576466,0.890795631825273,4.614011647064437e-05,4,1
PDE7B,50,0.680092475896102,0.8185127405096204,1.6745472769239853e-05,2,1
DAGLB,51,0.6784238347461308,0.8632345293811753,0.0,1,0
ARID1A,52,0.6749606225388166,0.8075923036921477,0.00034085509373435745,12,0
STIM1,53,0.6747609464378577,0.6578263130525221,0.0003920032089006327,3,0
SCAF8,54,0.6719706956858347,0.7399895995839834,2.4399932354222877e-05,5,0
IFNG,55,0.67173141851741,0.764950598023921,0.019824632469609058,47,1
MYO18A,56,0.6693,1.0,0.0001161562584784807,6,0
ADAM19,57,0.6672775280323443,0.9807592303692148,9.830903230869692e-05,1,0
PELI2,58,0.6666412377608057,0.9875195007800311,0.0,0,0
HEATR3,59,0.6662390186459489,0.983359334373375,0.0,0,0
ITK,60,0.6603371814872595,0.5574622984919396,0.004604567921096639,21,1
ACAP1,61,0.6598597448321217,0.8445137805512221,9.261228685620526e-06,2,0
PLCL1,62,0.6579710391938343,0.6890275611024441,0.0,0,0
TUFM,63,0.6576128458366097,0.9011960478419136,5.253905969788382e-06,4,0
YRDC,64,0.6566495510162411,0.8554342173686947,1.515042967276539e-05,3,0
RIN3,65,0.6544208684567733,0.6911076443057722,2.4206392701570818e-05,4,0
FADS1,66,0.6539540240606863,0.7009880395215808,1.0547740386136676e-05,4,0
ZFYVE26,67,0.6529089370195771,0.9542381695267812,1.1080708480195226e-07,1,0
CYLD,68,0.6523946515443478,0.6006240249609984,0.00021301356358566624,3,0
MTX1,69,0.6506779726023169,0.8814352574102964,0.00019139370678667974,4,0
BRD1,70,0.6492088421286877,0.8835153406136246,3.940574028338558e-05,4,0
PTGIR,71,0.6487990359345795,0.7633905356214249,8.891434160690704e-05,1,1
NAF1,72,0.6448813312532502,0.9802392095683828,0.0,0,0
TNIP2,73,0.6440431727222269,0.827873114924597,0.0008281580839289658,3,0
ZNF236,74,0.6436292516210341,0.9349973998959958,2.1814039403698865e-05,1,0
ANKZF1,75,0.64300189925533,0.9521580863234528,2.091487911204216e-06,2,0
PNPT1,76,0.642937598833172,0.9880395215808632,0.00030515265027859594,5,0
ZNF438,77,0.6426790038260731,0.6703068122724909,0.0,0,0
TNFRSF1B,78,0.6425218152883274,0.8793551742069683,0.004177989210974708,9,0
NDUFS2,79,0.6406638206045479,0.8668746749869994,4.9335240479883966e-05,16,1
BCL3,80,0.6383433456264673,0.984919396775871,0.00033308053212773774,2,0
MYC,81,0.6377698838808038,0.5231409256370255,0.003387644088041102,45,0
CASP7,82,0.6364010362155764,0.6136245449817993,0.0003381506743440523,12,1
RUNX3,83,0.635455135526041,0.5969838793551742,0.0034389092265094327,15,0
UFL1,84,0.6330155720487732,0.939677587103484,5.4202902734665077e-05,6,0
PRKX,85,0.6309985673769067,0.8689547581903276,0.0,0,0
KLF12,86,0.6301852326824631,0.6198647945917837,0.0,1,0
SYNE2,87,0.6263070575277493,0.6827873114924597,0.0001532045383078182,2,0
SULF2,88,0.6261814494755292,0.7696307852314093,0.0,0,0
MFSD12,89,0.6249135703097087,0.8507540301612064,3.9247943476598006e-06,1,0
TNFAIP3,90,0.6238164326573064,0.4435777431097243,0.0017547531730952206,9,0
IRAK3,91,0.6153177577815082,0.9656786271450858,0.0013083588271511695,8,0
WAPL,92,0.6131787476533165,0.6994279771190848,3.4752177057486594e-05,3,0
SMS,93,0.6129159646385856,0.9973998959958398,1.5655707895433557e-05,4,0
NUDT3,94,0.612416680120097,0.7233489339573583,2.430501247665091e-06,4,0
SMIM3,95,0.6116004803595969,0.9646385855434216,0.0,0,0
RFT1,96,0.6115763414835438,0.7436297451898076,0.0,0,0
VKORC1,97,0.6112467634754258,0.8543941757670307,8.782602305694219e-07,1,1
BBS12,98,0.6104192683089308,0.970358814352574,4.256999977298766e-05,4,0
BBS7,99,0.6069298912055607,0.7576703068122725,0.0001166295034762133,7,0
CBLB,100,0.6065685253987905,0.4175767030681227,1.8319527061424133e-05,1,0
RPIA,101,0.6056521755228041,0.6344253770150806,2.7784631651208233e-05,2,0
LMO7,102,0.6051868134192677,0.7925117004680188,0.0,0,0
SFMBT1,103,0.6016351745471538,0.8221528861154446,0.0002116393813595286,3,0
TXK,104,0.5969299531981279,0.5553822152886115,0.001539707375171595,4,1
LITAF,105,0.5962175469469639,0.5455018200728029,5.258232738173543e-05,2,0
POLI,106,0.5956297771037947,0.5200208008320333,1.874020448614637e-05,2,0
FAM241A,107,0.5927164103364503,0.6391055642225689,0.0,0,0
SLC25A24,108,0.5926877354702403,0.8642745709828393,3.3946687783436585e-05,1,0
SPHK2,109,0.5918324990073449,0.4773790951638065,0.00010169280719525708,5,1
ZFP36L2,110,0.5899711607979616,0.6781071242849714,2.7726984311501666e-05,1,0
METTL15,111,0.5862063471888361,0.9313572542901716,1.548152915980384e-05,7,0
FUT8,112,0.5835323393052002,0.9615184607384296,7.986422268315426e-05,2,0
SMAD4,113,0.5831131122186671,0.5501820072802912,0.00200814339731414,15,0
DEF6,114,0.582936869474779,0.59334373374935,0.0005942884971917635,2,0
MEN1,115,0.5819175526093601,0.593863754550182,0.0007350092068560917,12,1
RAD51B,116,0.5798749096483452,0.5886635465418617,3.3636516315901045e-05,6,0
DENND1A,117,0.5798390455483967,0.9911596463858554,5.824391304326771e-06,3,0
USP24,118,0.5793250626031182,0.6879875195007801,8.523271269656615e-05,6,0
PIK3C3,119,0.577747329103445,0.7165886635465418,0.000418228542975935,12,0
ZDHHC17,120,0.577457821676657,0.904836193447738,0.0,1,0
OS9,121,0.575790013252112,0.767030681227249,0.00032185202330766024,7,0
APBB1IP,122,0.574970566822673,0.718148725949038,0.0003384758243033065,8,0
NCOA5,123,0.5748061172986212,0.734789391575663,2.8961077162787494e-06,1,0
LAG3,124,0.5742697352641495,0.5465418616744669,0.0077272066170670384,7,1
CPEB3,125,0.570733435267197,0.9823192927717108,9.27987460131588e-06,2,0
RBM26,126,0.5705198904188156,0.6157046281851274,4.7100349469334745e-06,1,0
SLC2A4RG,127,0.5679284320371766,0.735309412376495,1.6000942893035865e-05,1,0
PPP2R2A,128,0.567796192631079,0.6437857514300572,0.0003365622601473811,9,0
BAK1,129,0.5668054849392123,0.6068642745709828,0.00024461900078335673,8,0
ITM2A,130,0.5657665606834714,0.592823712948518,0.0,0,0
FADS3,131,0.565741623080588,0.6396255850234009,3.3473083475140064e-07,1,0
UBE2L6,132,0.5647634283789189,0.7841913676547062,0.00012760112309542125,5,0
PRKCSH,133,0.564321288469882,0.8013520540821633,7.112201466759319e-05,2,0
STIM2,134,0.5630801872074883,0.7784711388455539,0.00013818113114646722,1,0
FKBP5,135,0.5612842624554876,0.5964638585543421,0.0003028582193965588,8,0
CAVIN1,136,0.5603524890322698,0.90535621424857,2.7292386802206952e-05,4,0
SFRP1,137,0.5601125079163533,0.6521060842433697,0.00020526864217391275,2,0
NCOA2,138,0.5579856044347894,0.5637025481019241,0.00043302308068215577,12,0
SND1,139,0.5576463858554342,0.998959958398336,0.0006017834441140416,5,0
ST8SIA4,140,0.5571168324347056,0.4336973478939157,6.906825479339738e-07,1,0
CD69,141,0.5568348721138886,0.5174206968278731,0.006514048393679649,19,0
ZBTB34,142,0.5558783151326053,0.9937597503900156,0.0,0,0
PDP2,143,0.5544586107073569,0.8143525741029641,1.049145569862653e-05,2,0
PPIF,144,0.5524556243772479,0.6999479979199168,0.0005744283090013986,8,0
ADGRG5,145,0.5519451898075923,0.969838793551742,0.0,0,0
PLEKHA5,146,0.5504689250590336,0.8341133645345814,2.263068698545833e-05,1,0
RSPH3,147,0.5495977396538635,0.5273010920436817,2.6176495507807963e-06,1,0
PRELID1,148,0.5479771188630648,0.8486739469578783,0.00048712982188501343,3,0
C1orf122,149,0.5460643616107239,0.9292771710868436,0.0,0,0
PLEKHM1,150,0.5435792118821499,0.7061882475299012,0.00017099089509004233,5,0
C8orf33,151,0.5417252207233049,0.7951118044721789,0.0,1,0
FAM98A,152,0.5353851575907199,0.7457098283931357,2.502194225115778e-05,3,0
CEP162,153,0.5334695906303232,0.6229849193967759,4.113824382321464e-06,2,0
CARD6,154,0.5330527555426487,0.9453978159126364,5.3346895807627195e-05,1,0
PPP4R2,155,0.5329015080603224,0.9932397295891836,0.00019570984684394517,7,0
SLC25A37,156,0.5323607841496316,0.6073842953718148,4.247739131399555e-06,3,0
MSH2,157,0.5317382331831483,0.6541861674466979,0.0003695837772761056,11,0
ING1,158,0.5282027486740606,0.5975039001560063,6.301142365859763e-05,2,0
SCAMP3,159,0.5262194999724392,0.8320332813312532,6.490251435806562e-06,1,0
CDKN1A,160,0.5261718148725949,0.5746229849193968,0.0008785500310331968,25,0
IRF7,161,0.525095007800312,0.5741029641185648,0.002872787613466581,20,0
PPP2R5C,162,0.5250516380655227,0.5616224648985959,0.00023057045580968447,7,0
RPGRIP1L,163,0.5245926137863421,0.6692667706708268,8.589022588304396e-05,1,0
GPR55,164,0.5218208802882717,0.5678627145085804,0.0,1,0
EDEM3,165,0.5192383487990035,0.5403016120644826,2.5562695919715182e-05,4,0
IFITM2,166,0.5148397517567247,0.5543421736869475,0.0003056039941190221,2,0
PFKM,167,0.5128231929277172,0.999479979199168,0.00021592220264169548,4,0
ATL2,168,0.5122927717108685,0.997919916796672,0.0,0,0
CMTR2,169,0.5119391575663027,0.9968798751950078,0.0,0,0
ACAD11,170,0.5115855434217369,0.9958398335933436,6.565217618304344e-05,4,0
METTL8,171,0.511449215856886,0.578263130525221,1.802450422422026e-05,6,0
PGS1,172,0.511408736349454,0.9953198127925116,2.1075534222192522e-05,4,0
PARP8,173,0.5107095198577342,0.7987519500780031,0.00019447208883385724,8,0
PPP1R3B,174,0.505922127408542,0.6333853354134166,7.31909385205336e-05,5,0
TTC19,175,0.5051989202909984,0.5912636505460218,4.1980437102023944e-07,4,0
RBM43,176,0.5048642878463614,0.6105044201768071,0.0,0,0
ATAD3B,177,0.5045632257591625,0.7644305772230889,9.088566874822075e-07,1,0
NIF3L1,178,0.5023234544668197,0.6786271450858035,3.483911197288429e-05,5,0
CEP72,179,0.5012125009988215,0.4752990119604784,5.824664629028264e-07,2,0
NEURL1,180,0.4992661410134807,0.6713468538741549,0.0,0,0
ANGPTL6,181,0.498899160395771,0.7555902236089443,0.0,0,0
DACT1,182,0.4982861033034234,0.7316692667706708,5.051581144828404e-06,1,0
PPCDC,183,0.4981325435668648,0.5559022360894436,0.0,0,0
HNF1B,184,0.4974486268177548,0.3411336453458138,0.0002593210124922504,2,0
SLC29A2,185,0.4965428071337421,0.8216328653146125,0.0,1,0
N4BP1,186,0.4956738939583168,0.5611024440977639,0.0,1,0
ARHGAP27,187,0.4943119786940068,0.5101404056162246,0.0,0,0
TRAF3IP2,188,0.4934564711112765,0.3884555382215288,0.00034041533212135304,3,0
TAF11,189,0.4925661893379339,0.4992199687987519,7.631982253303836e-05,3,0
FOXK1,190,0.4898980239209568,0.5605824232969319,5.765126068874452e-05,2,0
PODXL2,191,0.4890409091130804,0.6001040041601664,0.0,0,0
PLEK,192,0.488868174726989,0.6599063962558502,0.0004781489906950477,15,0
TYW5,193,0.483022424073351,0.6458658346333853,0.0,0,0
NCALD,194,0.473711282518523,0.4232969318772751,1.2348458670820486e-05,2,0
SP140L,195,0.4732695895599865,0.6141445657826313,0.00017902677111400313,2,0
TNFAIP8,196,0.4714253740473165,0.3109724388975559,0.0004726762135825875,2,0
CREM,197,0.4713472056056894,0.4118564742589704,0.0002902445371240063,4,0
RNF141,198,0.4711990503782841,0.5361414456578263,0.0,0,0
SPSB1,199,0.470945544860425,0.4097763910556422,0.0,0,0
RAB28,200,0.4692593125569185,0.5512220488819553,9.677104031576138e-06,1,0
IKBKE,201,0.4672281330681407,0.3697347893915756,0.0010432999275114905,9,0
FAM133B,202,0.4655153276822406,0.766510660426417,6.56288648425941e-06,2,0
MACIR,203,0.4650260970719833,0.2574102964118565,0.0,1,0
ISL2,204,0.4638333781149109,0.6359854394175767,3.265821636563068e-06,2,0
ATP8B2,205,0.4581466334884347,0.5730629225169007,0.0,2,0
SLC44A2,206,0.457606071580524,0.594383775351014,0.0,0,0
ZBTB38,207,0.457385462093572,0.3562142485699427,0.0,0,0
INPP5B,208,0.4534625230322616,0.3499739989599584,0.0,0,0
CIITA,209,0.4456789419282974,0.3369734789391576,0.001814603930144004,11,0
CFAP418,210,0.4405247009880396,0.9927197087883516,0.0,0,0
ABCD2,211,0.4403478939157566,0.9921996879875196,9.431844646867207e-06,3,0
APBA2,212,0.4401710868434738,0.9916796671866874,6.055154591071564e-05,3,0
MTFR1L,213,0.439817472698908,0.9906396255850234,0.0,0,0
FNDC3B,214,0.4396406656266251,0.9901196047841914,8.64088250328197e-06,2,0
FAM210B,215,0.4394638585543421,0.9895995839833592,0.0,0,0
TIMM8A,216,0.4392870514820593,0.9890795631825272,9.794957356898835e-07,4,0
SRXN1,217,0.4391102444097765,0.9885595423816952,5.591035425272614e-05,1,0
VPS29,218,0.4385798231929277,0.9869994799791992,0.0001076200279839236,5,0
SETD3,219,0.4384030161206448,0.9864794591783672,0.00010855226548424798,4,0
TMEM115,220,0.438226209048362,0.9859594383775352,0.0,2,0
ATP5F1A,221,0.438049401976079,0.9854394175767032,9.963653823687763e-05,18,0
PSME1,222,0.4376957878315132,0.984399375975039,0.0015850524746507625,10,0
INO80B,223,0.4371653666146646,0.982839313572543,3.3873758987734253e-05,2,0
NDUFAF5,224,0.4368117524700988,0.9817992719708788,2.085302671746714e-05,10,0
CPEB4,225,0.4365986457456037,0.360374414976599,2.8755662926107334e-06,1,0
ATG2B,226,0.4364065044595943,0.4139365574622985,8.650927047932274e-05,4,0
ERMARD,227,0.4361045241809673,0.9797191887675508,0.0,0,0
TM9SF3,228,0.4359277171086843,0.9791991679667188,0.0,1,0
C1orf216,229,0.4357509100364015,0.9786791471658868,0.0,0,0
TMEM234,230,0.4355741029641186,0.9781591263650546,0.0,2,0
PIAS3,231,0.4353972958918357,0.9776391055642226,4.425502847411048e-05,4,0
ATP8B3,232,0.4352204888195528,0.9771190847633904,0.0,2,0
ANKAR,233,0.434866874674987,0.9760790431617264,0.0,0,0
ARMC8,234,0.4346900676027042,0.9755590223608944,0.0,0,0
AKR1C3,235,0.4345132605304212,0.9750390015600624,1.8968192796748557e-06,2,0
ABCC4,236,0.4343364534581383,0.9745189807592304,0.0,0,0
ATF4,237,0.4341596463858555,0.9739989599583984,0.0019333558290617508,11,0
WDR48,238,0.4339828393135725,0.9734789391575664,0.00012248223072491838,5,0
RBCK1,239,0.4338060322412897,0.9729589183567344,0.00045604519845356925,6,0
EID2,240,0.4336292251690067,0.9724388975559022,7.411883316527788e-05,3,0
EXTL3,241,0.4334524180967239,0.9719188767550702,8.745406263210577e-07,4,0
ATP6V1E1,242,0.4332756110244409,0.971398855954238,2.4505173003389565e-05,7,0
ZC3H12C,243,0.433108370113806,0.1601664066562662,0.0,0,0
SLC10A7,244,0.4330988039521581,0.970878835153406,9.713971142568264e-06,1,0
PPP1R13B,245,0.4325683827353094,0.96931877275091,0.00012035884737488385,3,0
HIP1R,246,0.4323915756630266,0.968798751950078,3.9134355168076734e-05,3,0
STRADA,247,0.4322147685907436,0.968278731149246,0.000101537686195941,2,0
PEMT,248,0.4320379615184608,0.967758710348414,2.8759808188222356e-05,6,0
SYNE3,249,0.4318611544461778,0.967238689547582,6.551053788704494e-05,1,0
GNPAT,250,0.431684347373895,0.9667186687467498,6.937627594044639e-06,2,0
DNAJC19,251,0.431507540301612,0.9661986479459178,4.623370884271362e-05,7,0
BCL9,252,0.4311539261570463,0.9651586063442538,7.147606341816372e-05,2,0
MARK2,253,0.4308003120124805,0.9641185647425896,0.0002443620841936584,4,0
CYREN,254,0.4304466978679147,0.9630785231409256,0.0,0,0
DUSP12,255,0.4302698907956319,0.9625585023400935,7.503666790558197e-05,2,0
CCDC159,256,0.4300930837233489,0.9620384815392616,0.0,0,0
NUDT11,257,0.4297394695787832,0.9609984399375976,5.267379141903767e-06,3,0
MITD1,258,0.4295626625065002,0.9604784191367656,0.0,0,0
MBTD1,259,0.4293858554342174,0.9599583983359334,2.5876879284014374e-05,3,0
DNAJC2,260,0.4292090483619344,0.9594383775351014,7.168879485725587e-05,10,0
PLCG2,261,0.4290348300746702,0.2178887155486219,0.0005539418162480811,14,0
ELP3,262,0.4290322412896516,0.9589183567342694,0.00014498741596195017,9,0
WDR54,263,0.4288554342173687,0.9583983359334374,2.735143424880332e-06,1,0
TIPARP,264,0.4286786271450858,0.9578783151326054,6.07431525540792e-06,2,0
ZBTB48,265,0.4285018200728029,0.9573582943317732,3.890188141646566e-05,3,0
HMGXB3,266,0.42832501300052,0.9568382735309412,0.0,0,0
SEC23A,267,0.4281482059282371,0.9563182527301092,3.5454220146319853e-06,3,0
C1R,268,0.4280411317876653,0.2854914196567862,9.093505460822983e-05,3,0
DLGAP5,269,0.4279713988559543,0.9557982319292772,7.67653434120045e-06,4,0
AKAP5,270,0.4277945917836713,0.9552782111284452,1.647566196296809e-05,5,0
NDUFB1,271,0.4276177847113885,0.9547581903276132,2.282640607397945e-05,9,0
CKS1B,272,0.4270873634945398,0.953198127925117,0.0002044050354274747,10,0
NFKB1,273,0.4270841517734833,0.2584503380135205,0.011189111942186308,23,0
SLC25A22,274,0.4269105564222569,0.952678107124285,3.052208938087177e-06,1,0
APOA1,275,0.4265569422776911,0.9516380655226208,0.00031252667906723374,7,0
VPS35,276,0.4263801352054082,0.9511180447217888,0.00019174273741096037,9,0
AZI2,277,0.4262033281331254,0.9505980239209568,0.0,0,0
EFNA4,278,0.4260265210608424,0.9500780031201248,7.971953945664876e-07,1,0
PTPRM,279,0.4258497139885596,0.9495579823192928,0.0,0,0
GSS,280,0.4256729069162767,0.9490379615184608,2.9134746180805088e-05,3,0
CXXC1,281,0.4254960998439938,0.9485179407176288,3.919717960708349e-05,3,0
ZFYVE1,282,0.4253192927717109,0.9479979199167968,1.0753749166202004e-05,1,0
ACER3,283,0.425142485699428,0.9474778991159646,0.0,0,0
MYL12A,284,0.4249656786271451,0.9469578783151326,6.942078949916458e-05,5,0
TMEM62,285,0.4247888715548621,0.9464378575143004,0.0,0,0
CD79B,286,0.4246120644825793,0.9459178367134684,0.0012873851893039367,11,0
UQCRQ,287,0.4242584503380135,0.9448777951118044,4.501100733216589e-07,3,0
ZKSCAN1,288,0.4240816432657306,0.9443577743109725,0.0,1,0
SLC35A3,289,0.4239048361934478,0.9438377535101404,8.652472377312912e-06,2,0
ZNF382,290,0.4237280291211648,0.9433177327093084,7.973378691234105e-07,1,0
TIMP1,291,0.423551222048882,0.9427977119084764,0.00232503151138624,5,0
CD7,292,0.423374414976599,0.9422776911076444,0.0016583784903106591,11,0
SLC35A2,293,0.4231976079043162,0.9417576703068122,3.186536969350256e-05,3,0
VBP1,294,0.4230208008320332,0.9412376495059802,8.519236066337675e-05,4,0
CIT,295,0.4228439937597504,0.9407176287051482,8.629567336933914e-06,2,0
NAA25,296,0.4227679444445271,0.4472178887155486,1.8991552594241242e-06,2,0
GOLGA5,297,0.4226671866874675,0.9401976079043162,8.769110856424182e-06,3,0
BAG1,298,0.4223135725429017,0.939157566302652,0.0,0,0
LENG9,299,0.4221367654706189,0.93863754550182,0.0,0,0
TMX1,300,0.4219599583983359,0.938117524700988,0.0,3,0
TTPAL,301,0.4217831513260531,0.937597503900156,1.1954942301325147e-07,1,0
PLAC8,302,0.4216760889304987,0.6183047321892876,0.0,0,0
RAB3GAP1,303,0.4216063442537701,0.937077483099324,2.9523698013802464e-05,7,0
SLC25A45,304,0.4214295371814873,0.936557462298492,0.0,0,0
COX6B1,305,0.4212527301092044,0.93603744149766,3.258463606989856e-05,12,0
C2orf68,306,0.4210759230369215,0.935517420696828,0.0,0,0
PPP1R18,307,0.4205455018200728,0.9339573582943318,1.1622538642752138e-05,1,0
PEX19,308,0.42036869474779,0.9334373374934998,0.0,1,0
FAM204A,309,0.420191887675507,0.9329173166926678,2.6740982006021106e-06,2,0
ATP1B3,310,0.4200150806032242,0.9323972958918356,2.0187243802841144e-05,2,0
LMTK2,311,0.4198382735309412,0.9318772750910036,1.7857463840849585e-05,3,0
MAMLD1,312,0.4194846593863755,0.9308372334893396,7.641762704750212e-05,3,0
DCP2,313,0.4191310452418097,0.9297971918876756,9.28871573439889e-05,12,0
DNTTIP1,314,0.418600624024961,0.9282371294851794,0.0,0,0
TCEANC,315,0.4184238169526781,0.9277171086843474,0.0,0,0
ZNF426,316,0.4182470098803952,0.9271970878835152,4.663332469198049e-05,1,0
SETD7,317,0.4180702028081123,0.9266770670826832,0.0005402132846106352,9,0
H4C2,318,0.4178933957358294,0.9261570462818512,0.00035161424251361654,10,0
PPIG,319,0.4177165886635466,0.9256370254810192,0.00022254251109125327,7,0
BTBD3,320,0.4177137677424301,0.3437337493499739,1.3051745464988615e-05,1,0
THEMIS2,321,0.4175397815912636,0.9251170046801872,8.553981991393501e-05,1,0
TIMM10,322,0.4173629745189808,0.9245969838793552,4.0380119990683676e-06,7,0
MPZL2,323,0.4171861674466979,0.9240769630785232,0.0,0,0
UBE2O,324,0.417009360374415,0.9235569422776913,0.00010786199271218928,2,0
ZNF106,325,0.4168325533021321,0.9230369214768592,0.0,0,0
TMEM120B,326,0.4166557462298492,0.9225169006760272,0.0,1,0
DHCR7,327,0.4165450629236929,0.3525741029641185,6.647768115639006e-06,2,0
PIDD1,328,0.4163021320852834,0.9214768590743628,3.0226347569576163e-05,1,0
ZNF622,329,0.4161253250130005,0.9209568382735308,0.0,0,0
UPF3A,330,0.4159485179407177,0.9204368174726988,0.0,0,0
SMAD5,331,0.4157717108684347,0.9199167966718668,0.00026006008586814446,2,0
TIGAR,332,0.4155949037961519,0.9193967758710349,0.0,0,0
TM7SF3,333,0.415418096723869,0.9188767550702028,0.0,0,0
IL18R1,334,0.4153776200068834,0.1653666146645865,0.012391185879268591,25,0
MAML3,335,0.4150644825793032,0.9178367134685388,0.00010655152257009773,4,0
YWHAH,336,0.4148876755070202,0.9173166926677068,0.00017129394184997696,4,0
KANK1,337,0.4147108684347374,0.9167966718668746,0.0,0,0
RIDA,338,0.4145340613624544,0.9162766510660426,1.7286092497406504e-05,3,0
OPTN,339,0.4143572542901716,0.9157566302652106,0.00016079568375068358,6,0
MAP9,340,0.4141804472178887,0.9152366094643786,0.0,0,0
FEM1A,341,0.4140036401456058,0.9147165886635464,3.6645796014067105e-06,2,0
COX14,342,0.4138268330733229,0.9141965678627144,7.698190120419507e-06,5,0
ACAP3,343,0.4134732189287571,0.9131565262610504,1.8299606047925686e-06,2,0
CRLF2,344,0.4134246548460518,0.2277691107644305,0.0008914465311594305,4,0
RHBDD3,345,0.4132964118564743,0.9126365054602184,0.0,0,0
FAM118A,346,0.4131449467930848,0.3536141445657826,0.0,0,0
MARK3,347,0.4131196047841913,0.9121164846593864,0.00041322766150087795,3,0
LYST,348,0.4129966780018553,0.3042121684867395,0.00010646000291621433,3,0
ZNF101,349,0.4129427977119085,0.9115964638585544,4.113770216193444e-07,1,0
