tf,direction,peak_condition,intermediate,edge_zscore,edge_confirmed,druggable,kd_program_effect
IRF8,agonize,Stim8hr,JAK2,1.68,False,True,-0.42
IRF8,agonize,Stim8hr,STAT1,0.06,False,False,-0.7
STAT4,antagonize,Stim48hr,JAK2,1.76,False,True,-0.42
STAT4,antagonize,Stim48hr,STAT1,3.62,True,False,-0.7
STAT4,antagonize,Stim48hr,IL12RB2,-0.51,False,False,0.49
TBX21,antagonize,Stim8hr,SRC,-0.36,False,True,0.45
TBX21,antagonize,Stim8hr,HDAC1,-1.34,False,True,-0.44
TBX21,antagonize,Stim8hr,ESR1,-0.19,False,True,0.11
TBX21,antagonize,Stim8hr,STAT3,0.31,False,False,-0.92
TBX21,antagonize,Stim8hr,GATA3,0.21,False,False,0.81
GATA3,agonize,Stim8hr,SRC,0.96,False,True,0.45
GATA3,agonize,Stim8hr,HDAC1,0.72,False,True,-0.44
GATA3,agonize,Stim8hr,ESR1,1.04,False,True,0.11
SP110,antagonize,Stim48hr,JAK1,,,True,
SP110,antagonize,Stim48hr,STAT1,0.89,False,False,-0.7
BATF,antagonize,Stim48hr,JAK1,,,True,
BATF,antagonize,Stim48hr,STAT3,-0.03,False,False,-0.92
BATF,antagonize,Stim48hr,IRF4,1.38,False,False,0.66
SETBP1,antagonize,Stim48hr,JAK2,0.56,False,True,-0.42
SETBP1,antagonize,Stim48hr,CSF3R,,,True,0.37
IRF3,antagonize,Stim8hr,IFNAR1,-1.43,False,True,0.21
IRF3,antagonize,Stim8hr,IFNB1,,,True,
IRF3,antagonize,Stim8hr,TLR4,,,True,
IRF3,antagonize,Stim8hr,JAK1,,,True,
RUNX3,agonize,Stim8hr,SRC,-0.24,False,True,0.45
RUNX3,agonize,Stim8hr,HDAC1,-2.19,True,True,-0.44
RUNX3,agonize,Stim8hr,ESR1,0.46,False,True,0.11
RUNX3,agonize,Stim8hr,TBX21,0.75,False,False,-1.47
RUNX3,agonize,Stim8hr,GATA3,-0.85,False,False,0.81
KLF12,antagonize,Stim8hr,CXCR3,-1.85,False,False,-0.47
