,IFNG,IL2,IL2RA,CCL3,CCL5,CXCL8,GZMB,PRF1,FASLG,TNFRSF9,ICOS,NFKB1,NFKB2,REL,RELB,STAT3,LTA,TNF,CCL4,IRF4,TBX21,STAT1,AHR,CXCR3,IL12RB2,IL18R1,IL18RAP,IL17F,STAT4,IL23R,CCR6,IL21,IL22,CSF2,BATF,RORC,IL10RA,LRRC32,TNFRSF18,TGFB1,IL2RB,IKZF2,CTLA4,FOXP3,IL10,ENTPD1,TIGIT,LAG3
TBX21,-7.131236,-2.3949587,-1.7268151,-4.5758185,-6.854923,-1.0003291,-3.3935,-0.5507144,-3.5037715,-2.2839344,3.1647534,1.3069563,0.9998131,-0.6070475,-1.4205383,-0.39465293,-4.5736194,-1.9966234,-8.165799,0.5125342,-9.218964,9.209318,-1.9025513,-10.385202,-1.4559138,3.1368496,0.77885556,-0.4083925,3.3439653,-2.2499537,-0.46495777,-0.71185684,1.2371507,-2.573615,0.059466295,-0.30965796,0.93772095,5.600563,0.02116335,2.219967,1.9529215,-0.9445104,2.3760383,-1.5955982,3.2842112,-2.8257654,-2.5176446,-0.40376973
BATF,-3.3698146,-2.8658252,-2.8786657,-4.671595,-3.2692602,-4.7751865,0.058899418,2.32621,-4.2190723,0.82670325,-2.8471437,5.8316483,2.5803204,-0.23024529,1.5202997,-0.034672525,-6.115051,-2.8548467,-5.316029,1.3829297,-1.7727289,6.3413267,-3.4731686,-3.0469556,-1.736173,4.715544,2.366862,-0.24596278,2.2684238,-1.1836823,0.05313606,-1.1918701,1.3676829,-3.5095725,-11.062747,0.70633405,0.298294,6.7764435,0.7795269,2.3696432,-4.32972,-1.6077893,-5.222949,0.98673755,-0.5213199,-1.0215416,4.0591526,1.516238
IRF4,-0.65530217,-1.9940032,-0.45738938,-1.2731133,-1.7007427,-4.226328,5.5914907,2.7491922,1.711027,1.5989914,-3.9321907,1.0433496,-1.4856212,2.0284238,-0.5762833,1.3166028,1.7074611,0.81565493,-0.7460117,-1.5147977,-0.40121165,1.1260374,1.7324541,0.29954958,-2.462942,6.1727943,7.1620893,-0.47768465,1.7816337,-2.5694988,0.3037089,-1.0872096,-2.821311,0.14820997,4.692497,0.32501116,2.9934535,2.4774199,2.0706174,0.2463392,-1.7714101,1.3418249,-2.001497,0.7066164,-1.2815826,-0.5145191,-0.7886975,0.32872158
STAT3,-4.7113986,-3.6209097,-7.5019555,-5.026383,-1.4298912,-5.9621615,-12.112293,-0.486056,-1.1794751,2.6538382,-0.56919706,2.7013643,1.2841026,5.088059,-2.6774123,-14.569751,2.806888,1.7659996,-2.4024322,-0.07490928,-1.0672185,10.497474,2.428515,1.728072,2.4660785,6.136118,2.8319504,-0.0183372,4.431421,-1.0063592,0.41749898,-0.85311925,-2.5842469,0.75504464,-3.6899457,0.09254066,3.5315354,8.311006,3.0089252,1.4749293,-6.329082,-1.5521066,-4.1020613,2.6479566,-3.1296494,1.2880582,5.128193,-2.4189634
RORC,-0.4890008,0.7522651,-0.56362605,-0.6312268,0.067536294,-2.1685517,0.7133258,0.39036766,-0.36178097,-0.1971181,-0.42383555,1.4562463,-5.0482846e-05,0.42238298,1.1042684,1.4630618,-0.46002334,-0.74593294,-0.79434997,-1.0711092,-0.93905056,0.003750266,-2.0739906,-0.35683873,-0.69130915,1.6592332,2.2164304,-0.1597671,2.0445096,-0.117039345,-0.44673532,-0.3356925,-1.9879988,-0.91548955,0.3106806,-0.41769382,2.0629935,1.0013955,0.45460936,-0.09365919,0.31711605,0.02839285,0.32865867,-1.2653459,-0.73118114,-0.4939555,-0.4709674,0.2739396
STAT4,-1.439607,-0.33927375,2.0257347,-0.7588573,-0.0054992973,-0.4843649,-0.12382387,0.5897138,-0.92537403,-0.37731984,0.25651604,0.98336965,-0.7887204,-1.2007977,-1.2306852,-0.11630589,-2.1915495,-0.65937847,-0.73567295,-1.1159233,-2.2085125,3.6238885,-0.4012119,-0.6545395,-0.51111794,-0.7567877,-1.4932011,-0.51775,-16.732727,-1.3241674,0.5285999,-2.152058,0.034772478,-0.91510785,-1.224441,-1.0897733,2.1497114,0.8745581,0.46046054,1.0490745,2.8959496,-1.0022894,1.245126,-0.38179743,-1.4788394,-1.1810632,-1.8939363,-1.0625377
NFKB1,-0.6187724,-3.190112,-1.015282,0.693725,-0.25261936,-0.50960207,1.9718034,3.483061,0.9792998,1.8793209,-1.1886185,-14.151346,-2.9523764,-0.22395685,-1.4801116,-1.4198313,1.1886683,4.4251685,1.2887951,-1.1713408,2.1944966,-0.019677917,-1.2438806,-0.41173548,-2.2573893,-0.25205132,1.7041546,-0.4471448,-0.9955618,-2.2761726,-0.0680462,-1.9198377,-3.050285,0.31888798,-0.74697685,-0.06559853,-2.2877607,2.1025271,0.19260043,-0.5616888,0.38262528,-0.06729211,0.54202914,1.7385814,0.3619136,0.2440061,0.49028566,0.6501091
REL,-0.65349853,-1.2745028,-1.2410182,-0.90269345,0.5630661,0.21964543,0.4696637,-0.39903972,-0.88183284,-0.051077195,-0.37308082,-0.7380222,2.198171,-10.466835,2.1901526,0.63078433,-2.5711465,-1.3056303,-1.3979753,-2.156059,-0.5397833,0.7745506,-0.31812152,-0.26034555,-2.4319808,1.5989635,0.36850452,-0.5258558,0.114060834,-0.4920938,1.1319492,-0.44197148,1.0868497,-2.719079,-2.1242692,0.6909143,-0.63918614,-3.714449,-0.13397697,-1.5651438,1.3445736,0.041063838,0.09296792,-0.5651748,-0.95558345,-1.0720885,-0.8533404,-1.1710194
IL2RA,-0.7015673,-0.43458515,-11.327332,-2.1130629,-1.821395,-0.8066831,-1.362248,-1.0203661,-1.3096093,-0.86622155,-1.4538784,-1.6303608,-2.389928,0.26860973,1.3291562,0.6428923,-1.5293403,-2.0517213,-1.2854413,0.8590633,-1.345805,5.866745,-0.22185983,-0.76927596,-0.019440694,0.06872556,-0.97285557,0.09068568,-0.16681378,-0.34343976,-0.60740036,0.14325683,-3.2834535,-0.16049752,0.46560365,0.3863239,0.4298751,-0.14980325,-1.5927184,0.44200364,-2.4543657,-1.222349,-0.47328883,-0.986175,-1.685617,-0.32919264,0.029814187,0.051224224
STAT6,4.9185123,-1.9589969,2.9962926,3.0486414,2.5652885,-2.0078123,5.3166203,2.4785595,2.279165,-0.07491452,3.6847947,3.2885413,6.81189,1.4664555,2.1319678,0.84090936,1.3559649,2.5413678,2.4362624,-1.3812833,0.2665124,-0.6726849,1.6839674,-2.486588,3.238842,1.4553018,3.9956193,-0.42818823,3.3233585,1.0769258,0.50173,4.029823,0.51805955,2.9848566,-5.9962244,-0.8660489,-0.0077293813,-3.2352204,2.1428323,0.07530042,0.062199596,0.095769,-1.0356098,-1.6029849,-2.0095906,4.25518,2.617796,1.7166642
