target_gene,rank,integrated_score,direction,peak_condition,context_specificity,causal_component,genetics_component,drug_component,novelty_component,peak_signed_score,peak_emp_z,peak_emp_fdr,peak_kd,genetics_tier,genetics_autoimmune,lof_constrained,lof_bin,ot_top_disease,ot_top_score,ot_autoimmune_disease,ot_autoimmune_score,primary_class,suggested_modality,tractability_tier,is_druggable,novelty_class,n_drugs,drug_stages,max_drug_stage,novel_priority,in_paper_noms,evidence_n,ensembl_id
IL4R,1,0.8689922711127874,brake_agonize,Stim48hr,0.82592946,0.9942797711908476,0.966457163026331,1.0,0.15,1.4309325,6.7257023,7.237156455787191e-08,-8.646176007212214,strong,0.966457163026331,False,2.0,asthma,0.742,asthma,0.742,catalytic_receptor,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,2.0,APPROVAL;PHASE_3,4.0,False,False,3,ENSG00000077238
IL2RA,2,0.8438871935947402,driver_antagonize,Stim8hr,0.5216995,0.9765990639625585,0.9028117061582344,1.0,0.15,-0.93097264,-5.5164566,1.0968002927687112e-05,-16.182706665204417,strong,0.9028117061582344,False,4.0,immunodeficiency due to CD25 deficiency,0.787,immunodeficiency due to CD25 deficiency,0.787,catalytic_receptor,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,7.0,APPROVAL;PHASE_2;PHASE_3,4.0,False,False,3,ENSG00000134460
STAT3,3,0.8317353094123766,driver_antagonize,Stim8hr,0.3768046,0.7727509100364015,1.0,1.0,0.35,-0.91831446,-3.9823356,0.0024419274440240775,-17.634071718623293,strong,0.9135014601681036,True,0.0,Autosomal dominant hyper-IgE syndrome,0.777,Autosomal dominant hyper-IgE syndrome,0.777,transcription_factor,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,True,3,ENSG00000168610
CREBBP,4,0.8202500260010401,driver_antagonize,Stim8hr,0.61265045,0.9136765470618825,0.802,1.0,0.35,-1.209808,-4.6357317,0.00031473284844676686,-23.397890150711373,strong,0.652,True,0.0,Rubinstein-Taybi syndrome due to CREBBP mutations,0.839,diffuse large B-cell lymphoma,0.652,,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000005339
IL10RB,5,0.8175148052515867,driver_antagonize,Stim48hr,0.5832337,0.8387935517420697,0.8777499921976097,1.0,0.35,-0.6579717,-4.2507105,0.0020723339811482082,-15.271029936918088,strong,0.8777499921976097,False,5.0,inflammatory bowel disease 25,0.731,inflammatory bowel disease 25,0.731,catalytic_receptor,antibody/biologic (surface),clinical_precedent,True,clinical_stage_drug,3.0,PHASE_2;PHASE_3,3.0,False,False,3,ENSG00000243646
IRF8,6,0.7949033023689043,brake_agonize,Stim8hr,0.6067723,0.9812792511700468,0.9608945232369611,0.15,1.0,0.96259516,5.646163,7.203229930406069e-06,-12.212445366013316,strong,0.8108945232369611,True,1.0,immunodeficiency 32B,0.586,B-cell chronic lymphocytic leukemia,0.485,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000140968
IL6R,7,0.7899033913581395,driver_antagonize,Stim8hr,0.75733125,0.8148725949037962,0.906155696969496,1.0,0.15,-0.622319,-4.134153,0.0015550717934922106,-3.997174829408627,strong,0.906155696969496,False,4.0,rheumatoid arthritis,0.74,rheumatoid arthritis,0.74,catalytic_receptor,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,5.0,APPROVAL;PHASE_2,4.0,False,False,3,ENSG00000160712
PRKCQ,8,0.7895907436297452,driver_antagonize,Stim8hr,0.61897945,0.7311492459698388,1.0,1.0,0.15,-0.54573977,-3.8381424,0.0037830366045472907,-7.907312959240138,strong,0.928449942677044,True,1.0,acute myeloid leukemia,0.541,acute myeloid leukemia,0.541,enzyme,small molecule,clinical_precedent,True,approved_drug_exists,5.0,APPROVAL;PHASE_1;PHASE_2,4.0,False,False,3,ENSG00000065675
STAT4,9,0.7893078523140926,driver_antagonize,Stim48hr,0.25425768,0.9303172126885075,1.0,0.15,1.0,-0.75221604,-4.786642,0.000444930236804645,-16.732726852325207,strong,0.8668375080825467,True,1.0,disabling pansclerotic morphea of childhood,0.617,rheumatoid arthritis,0.586,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000138378
CD2,10,0.7770805295103649,driver_antagonize,Stim8hr,0.5760955,0.983879355174207,0.6718718291704483,1.0,0.15,-1.1457816,-5.7509675,4.403915542954705e-06,-50.578725404681904,strong,0.6718718291704483,False,6.0,hypothyroidism,0.451,rheumatoid arthritis,0.431,,antibody/biologic (surface),clinical_precedent,True,approved_drug_exists,2.0,APPROVAL;PHASE_2,4.0,False,False,3,ENSG00000116824
STAT6,11,0.7733823032649367,brake_agonize,Stim48hr,0.74514407,0.921996879875195,0.956344547024568,0.15,1.0,1.0893518,4.709111,0.0005621280375800768,-13.180099597182386,strong,0.8063445470245679,True,1.0,"hyper-IgE syndrome 6, autosomal dominant, with recurrent infections",0.731,"hyper-IgE syndrome 6, autosomal dominant, with recurrent infections",0.731,transcription_factor,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000166888
ADAM17,12,0.7673876787341611,driver_antagonize,Rest,0.6260084,0.5876235049401977,0.995318956848313,1.0,0.35,-0.50324315,-3.544788,0.018326410655767206,-17.17241381877212,strong,0.8453189568483129,True,1.0,neonatal inflammatory skin and bowel disease,0.765,neonatal inflammatory skin and bowel disease,0.765,enzyme,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000151694
PTPN2,13,0.7653211046458912,brake_agonize,Rest,0.4182124,0.9537181487259491,0.8935231135968951,0.15,1.0,1.0220441,5.0367203,0.0001340439104716008,-7.271300386225767,strong,0.8935231135968951,False,2.0,rheumatoid arthritis,0.484,rheumatoid arthritis,0.484,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000175354
INPP5D,14,0.7652223088923558,brake_agonize,Stim48hr,0.8565079,0.9344773790951638,0.595,1.0,0.35,1.0074807,4.8130493,0.0004089901480938582,-24.36659352699218,moderate,0.445,True,0.0,hypothyroidism,0.492,allergic rhinitis,0.445,enzyme,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_3,3.0,False,False,3,ENSG00000168918
STAT5B,15,0.7647385855434219,driver_antagonize,Stim48hr,0.6496923,0.8959958398335933,0.9570000000000001,0.15,1.0,-1.0070873,-4.517819,0.0010069078617929328,-8.918683919969254,strong,0.807,True,0.0,"growth hormone insensitivity with immune dysregulation 1, autosomal recessive",0.807,"growth hormone insensitivity with immune dysregulation 1, autosomal recessive",0.807,transcription_factor,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000173757
PSMB9,16,0.7621623504940197,brake_agonize,Rest,0.9036815,0.9963598543941757,0.608,1.0,0.15,1.3160408,7.097032,2.055273838979516e-09,-26.67171877701092,strong,0.608,False,4.0,plasma cell myeloma,0.608,plasma cell myeloma,0.608,enzyme,small molecule,clinical_precedent,True,approved_drug_exists,7.0,APPROVAL;PHASE_2;PHASE_3,4.0,False,False,3,ENSG00000240065
ITGAL,17,0.7604020235035418,brake_agonize,Stim8hr,0.7744271,0.9084763390535622,0.7017335607511022,1.0,0.15,0.7263284,4.5958247,0.0003699498012596256,-24.363999095877084,strong,0.7017335607511022,False,2.0,psoriasis vulgaris,0.585,psoriasis vulgaris,0.585,kinase,small molecule,clinical_precedent,True,approved_drug_exists,4.0,APPROVAL;UNKNOWN,4.0,False,False,3,ENSG00000005844
PPP5C,18,0.7575012257383058,driver_antagonize,Stim48hr,0.24023354,0.6791471658866355,0.858637297789499,1.0,0.35,-0.55440825,-3.7313082,0.007998656446129768,-7.7433155049355875,strong,0.708637297789499,True,1.0,Crohn disease,0.377,Crohn disease,0.377,,small molecule,clinical_precedent,True,clinical_stage_drug,1.0,PHASE_2,2.0,False,False,3,ENSG00000011485
SIK2,19,0.7556762351443582,brake_agonize,Rest,0.7355267,0.9183567342693708,0.9014498183092401,0.15,1.0,0.90041083,4.672508,0.0005997110969468499,-6.083567289023719,strong,0.7514498183092401,True,1.0,asthma,0.44,asthma,0.44,kinase,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000170145
TBX21,20,0.7523130609745369,driver_antagonize,Stim8hr,0.4256072,0.9984399375975039,0.7994782739712848,0.15,1.0,-1.4742275,-7.4424825,3.759742329962266e-10,-15.850480772722758,strong,0.6494782739712848,True,0.0,hypothyroidism,0.553,"asthma, nasal polyps, and aspirin intolerance",0.436,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,novel_undrugged,0.0,,,False,False,3,ENSG00000073861
SRP54,21,0.7465024440977639,driver_antagonize,Stim8hr,0.6992084,0.8855954238169527,0.908,0.15,1.0,-0.72606874,-4.4732018,0.0005217101491372426,-15.32660802304004,strong,0.758,True,0.0,"neutropenia, severe congenital, 8, autosomal dominant",0.758,"neutropenia, severe congenital, 8, autosomal dominant",0.758,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000100883
NF1,22,0.7430837753510141,driver_antagonize,Stim8hr,0.5260707,0.8658346333853354,0.919,0.15,1.0,-0.61079013,-4.3731136,0.0007220175363201947,-8.745353926464428,strong,0.769,True,1.0,neurofibromatosis type 1,0.886,juvenile myelomonocytic leukemia,0.769,,small molecule,sm_tractable,True,novel_undrugged,0.0,,,True,False,4,ENSG00000196712
